Name,Team,Position,Expert Rank
Jaheim Bell,PHI,TE,334.00
Davis Mills,HOU,QB,335.00
Xavier Hutchinson,HOU,WR,336.00
Michael Carter,TEN,RB,336.50
Greg Dortch,DET,WR,337.00
Jeremy McNichols,WAS,RB,337.00
Brevin Jordan,HOU,TE,337.00
Zack Moss,,RB,339.50
Zay Jones,,WR,341.00
Jacob Cowing,SF,WR,344.00
AJ Dillon,CAR,RB,345.00
Rasheen Ali,BAL,RB,346.00
Khalil Herbert,,RB,347.00
Demarcus Robinson,SF,WR,348.00
Chris Manhertz,NYG,TE,351.00
JuJu Smith-Schuster,,WR,352.00
Kenny Pickett,CAR,QB,352.00
Ty Johnson,BUF,RB,353.00
Alexander Mattison,,RB,353.00
Odell Beckham,,WR,354.00
Mike Williams,,WR,355.00
KeAndre Lambert-Smith,LAC,WR,356.00
Rondale Moore,,WR,357.00
